,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
71,63,retired,married,secondary,no,2896,no,no,cellular,4,mar,180,2,-1,0,unknown,yes
72,38,management,divorced,tertiary,no,1149,yes,no,cellular,14,may,91,4,-1,0,unknown,no
73,75,admin.,married,unknown,no,1093,no,no,cellular,22,apr,369,1,-1,0,unknown,no
74,46,unknown,married,unknown,no,0,no,no,cellular,4,aug,343,1,-1,0,unknown,no
75,40,technician,married,tertiary,no,-1779,yes,yes,unknown,18,jun,37,2,-1,0,unknown,no
76,53,services,married,secondary,no,1065,no,yes,cellular,24,jul,211,1,-1,0,unknown,no
77,57,blue-collar,married,primary,no,3498,no,no,cellular,15,jul,210,2,456,2,success,no
78,36,admin.,married,tertiary,no,75,no,yes,cellular,20,nov,97,2,-1,0,unknown,no
79,46,admin.,married,secondary,no,171,yes,yes,cellular,11,oct,251,1,430,1,failure,no
80,32,self-employed,single,tertiary,no,1249,yes,no,cellular,19,nov,472,1,-1,0,unknown,yes
81,42,technician,married,tertiary,no,246,yes,no,telephone,12,may,360,2,-1,0,unknown,no
82,53,housemaid,married,secondary,no,637,no,no,cellular,28,jan,150,2,-1,0,unknown,no
83,46,blue-collar,married,primary,no,2499,yes,no,unknown,16,may,42,3,-1,0,unknown,no
84,47,blue-collar,married,secondary,no,3696,yes,no,cellular,19,nov,635,3,170,2,failure,no
85,34,blue-collar,married,secondary,no,800,no,no,cellular,5,apr,144,1,-1,0,unknown,yes
86,18,student,single,unknown,no,108,no,no,cellular,8,sep,169,1,-1,0,unknown,yes
87,52,blue-collar,single,primary,no,0,no,no,cellular,15,jul,131,2,-1,0,unknown,no
88,30,technician,married,tertiary,no,1103,yes,yes,cellular,29,jul,148,15,-1,0,unknown,no
89,43,blue-collar,married,secondary,no,699,yes,yes,cellular,20,nov,1258,2,122,2,other,yes
90,54,blue-collar,married,primary,no,316,yes,no,cellular,14,may,240,1,-1,0,unknown,no
91,36,management,divorced,tertiary,no,2397,no,no,cellular,25,aug,93,9,-1,0,unknown,no
92,57,housemaid,married,tertiary,no,2326,no,no,cellular,17,apr,378,1,-1,0,unknown,yes
93,39,admin.,single,secondary,no,-25,yes,no,unknown,6,may,576,1,-1,0,unknown,no
94,55,blue-collar,married,primary,no,2896,no,no,unknown,17,jun,138,3,-1,0,unknown,no
95,54,self-employed,married,tertiary,no,542,no,no,telephone,6,feb,48,5,-1,0,unknown,no
96,29,services,married,secondary,no,399,no,no,cellular,18,dec,454,6,199,1,failure,no
97,33,blue-collar,married,secondary,no,1240,yes,no,unknown,5,jun,400,2,-1,0,unknown,no
98,35,blue-collar,single,secondary,no,885,yes,no,cellular,15,jul,632,6,-1,0,unknown,yes
99,40,admin.,married,secondary,no,67,no,yes,cellular,19,nov,359,2,152,5,failure,no
100,37,technician,divorced,secondary,no,0,yes,no,cellular,16,jul,46,1,-1,0,unknown,no
101,59,retired,divorced,primary,no,1194,yes,no,cellular,15,jun,132,4,389,2,failure,no
102,36,blue-collar,divorced,secondary,no,-59,yes,no,unknown,28,may,193,1,-1,0,unknown,no
103,31,technician,single,primary,no,449,yes,no,unknown,28,may,174,1,-1,0,unknown,no
104,39,blue-collar,married,primary,no,2226,yes,no,unknown,6,may,158,1,-1,0,unknown,no
105,36,technician,married,secondary,no,0,no,no,cellular,2,apr,748,1,-1,0,unknown,no
106,34,blue-collar,married,unknown,no,245,yes,no,unknown,6,may,13,1,-1,0,unknown,no
107,37,technician,divorced,tertiary,no,1762,yes,no,cellular,16,apr,309,1,317,1,failure,no
108,32,admin.,divorced,secondary,no,2294,yes,no,cellular,5,feb,342,2,260,2,failure,no
109,31,blue-collar,single,secondary,no,33,yes,no,unknown,15,may,214,4,-1,0,unknown,no
110,29,technician,married,tertiary,no,-14,no,no,cellular,21,jul,203,2,-1,0,unknown,no
111,58,retired,married,secondary,no,4,no,yes,cellular,6,aug,147,1,-1,0,unknown,no
112,31,blue-collar,married,primary,no,-464,yes,yes,unknown,12,may,256,4,-1,0,unknown,no
113,38,management,married,tertiary,no,551,yes,no,unknown,12,may,1875,4,-1,0,unknown,no
114,45,admin.,single,primary,no,1811,no,no,telephone,31,jul,50,7,-1,0,unknown,no
115,37,management,single,unknown,no,504,yes,no,cellular,16,apr,555,1,-1,0,unknown,no
116,36,management,married,tertiary,no,203,no,no,cellular,29,oct,139,1,-1,0,unknown,yes
117,27,blue-collar,married,primary,no,106,yes,no,unknown,30,may,150,5,-1,0,unknown,no
118,53,blue-collar,married,secondary,no,6258,yes,no,telephone,15,jul,62,5,-1,0,unknown,no
119,46,management,married,tertiary,no,191,yes,no,cellular,17,nov,58,1,-1,0,unknown,no
120,44,services,married,secondary,no,1106,yes,no,telephone,19,nov,178,5,119,11,failure,no
121,40,blue-collar,divorced,secondary,no,0,no,no,cellular,12,aug,266,2,-1,0,unknown,no
122,35,technician,single,tertiary,no,756,yes,no,unknown,16,jun,14,14,-1,0,unknown,no
123,55,retired,divorced,secondary,no,1580,no,yes,cellular,21,nov,82,5,155,1,success,no
124,26,blue-collar,single,secondary,no,-333,no,yes,unknown,4,jul,692,1,-1,0,unknown,no
125,42,technician,married,secondary,no,5455,no,no,cellular,11,aug,149,4,-1,0,unknown,no
126,30,services,married,secondary,no,442,yes,no,unknown,8,may,137,2,-1,0,unknown,no
127,42,blue-collar,married,primary,no,574,yes,no,cellular,6,apr,357,2,327,2,failure,no
128,50,entrepreneur,married,secondary,no,7907,yes,yes,cellular,22,aug,363,2,-1,0,unknown,no
129,48,management,married,secondary,no,438,no,no,cellular,4,feb,42,5,-1,0,unknown,no
130,25,management,single,tertiary,no,710,no,no,unknown,9,jul,119,1,-1,0,unknown,no
131,48,management,single,tertiary,no,648,yes,no,cellular,31,jul,462,2,-1,0,unknown,no
132,36,blue-collar,single,secondary,no,1127,yes,no,cellular,10,jul,455,1,-1,0,unknown,no
133,49,admin.,married,secondary,no,284,yes,no,cellular,6,aug,131,3,-1,0,unknown,no
134,50,unemployed,married,secondary,no,49,yes,no,cellular,21,jul,237,1,-1,0,unknown,no
135,45,management,divorced,tertiary,no,-255,yes,yes,unknown,28,may,128,2,-1,0,unknown,no
136,39,admin.,married,secondary,no,835,yes,no,unknown,5,jun,135,1,-1,0,unknown,no
137,32,blue-collar,married,secondary,no,-103,yes,no,cellular,14,may,298,1,-1,0,unknown,no
138,32,blue-collar,married,secondary,no,4471,yes,no,cellular,3,feb,197,1,270,2,failure,no
139,45,management,married,tertiary,no,-319,yes,no,unknown,23,may,254,1,-1,0,unknown,no
140,62,unemployed,married,primary,no,532,no,no,cellular,31,aug,298,2,300,1,other,no
141,52,blue-collar,married,secondary,no,3429,yes,no,cellular,17,apr,516,1,-1,0,unknown,no
142,27,admin.,married,secondary,no,-435,no,no,unknown,3,jul,935,2,-1,0,unknown,no
143,57,services,married,secondary,no,1315,no,no,cellular,14,aug,260,2,-1,0,unknown,no
144,33,services,married,tertiary,no,546,yes,yes,unknown,9,may,253,1,-1,0,unknown,no
145,35,management,married,tertiary,no,0,yes,no,cellular,11,nov,229,2,96,3,success,yes
146,56,blue-collar,married,secondary,no,1119,yes,no,cellular,14,aug,265,2,-1,0,unknown,no
147,21,student,single,secondary,no,6844,no,no,cellular,14,aug,126,3,127,7,other,no
148,42,management,married,secondary,no,283,yes,no,cellular,18,nov,400,1,-1,0,unknown,no
149,46,blue-collar,married,secondary,no,1583,yes,no,telephone,12,may,175,5,278,7,failure,no
150,30,technician,single,tertiary,no,0,yes,no,cellular,5,jun,159,2,-1,0,unknown,yes
151,39,management,married,tertiary,no,399,no,no,cellular,9,apr,504,1,-1,0,unknown,no
152,54,blue-collar,married,primary,no,0,no,no,unknown,16,jun,101,6,-1,0,unknown,no
153,57,admin.,married,secondary,no,-967,yes,no,telephone,15,may,8,7,-1,0,unknown,no
154,47,blue-collar,married,primary,no,145,no,no,unknown,17,jun,255,1,-1,0,unknown,no
155,36,admin.,single,tertiary,no,980,no,no,cellular,11,nov,118,4,104,7,failure,no
156,74,retired,married,primary,no,5539,no,no,cellular,12,jul,390,2,159,3,failure,no
157,34,student,single,tertiary,no,1322,no,no,cellular,26,aug,170,3,-1,0,unknown,no
158,30,self-employed,single,secondary,no,299,yes,no,unknown,16,may,679,17,-1,0,unknown,no
159,30,technician,married,secondary,no,854,yes,no,unknown,2,jun,163,2,-1,0,unknown,no
160,51,management,married,tertiary,no,-898,no,no,cellular,29,jan,78,2,-1,0,unknown,no
161,36,blue-collar,married,secondary,no,7265,no,no,unknown,17,jun,243,1,-1,0,unknown,no
162,52,management,divorced,tertiary,no,-299,no,no,cellular,29,jul,110,2,-1,0,unknown,no
163,28,services,single,secondary,no,0,no,no,cellular,2,feb,188,1,206,2,other,no
164,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
165,52,management,divorced,tertiary,no,2909,yes,no,unknown,30,may,110,1,-1,0,unknown,no
166,41,management,married,tertiary,no,1092,no,no,cellular,5,aug,736,1,-1,0,unknown,yes
167,31,blue-collar,single,primary,no,5058,yes,no,unknown,20,may,157,1,-1,0,unknown,no
168,60,retired,married,secondary,no,2086,yes,no,unknown,15,may,182,2,-1,0,unknown,no
169,50,admin.,married,tertiary,no,0,no,no,telephone,29,aug,253,2,-1,0,unknown,no
170,36,management,married,tertiary,no,8564,yes,no,unknown,23,may,125,1,-1,0,unknown,no
171,57,unknown,married,unknown,no,2266,no,no,unknown,20,jun,42,5,-1,0,unknown,no
172,26,admin.,single,secondary,no,1375,yes,no,cellular,17,apr,238,2,-1,0,unknown,no
173,53,blue-collar,married,primary,no,109,no,no,cellular,22,aug,86,4,-1,0,unknown,no
174,28,services,married,secondary,no,2114,no,yes,unknown,23,may,79,1,-1,0,unknown,no
175,37,technician,single,tertiary,no,3943,no,no,cellular,19,nov,37,1,-1,0,unknown,no
176,50,management,married,tertiary,no,3296,no,no,unknown,18,jun,255,2,-1,0,unknown,no
177,47,management,divorced,tertiary,no,310,no,no,cellular,29,aug,136,2,-1,0,unknown,no
178,49,retired,married,primary,no,2665,yes,no,unknown,13,may,67,1,-1,0,unknown,no
179,30,technician,single,tertiary,no,2325,no,no,cellular,10,aug,263,1,127,7,failure,yes
180,34,management,single,tertiary,no,-322,no,no,unknown,9,may,198,1,-1,0,unknown,no
181,34,management,divorced,tertiary,no,221,no,no,cellular,8,aug,150,2,-1,0,unknown,no
182,38,blue-collar,married,secondary,no,1149,no,no,cellular,30,jul,41,2,-1,0,unknown,no
183,24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown,yes
184,31,technician,divorced,secondary,no,-174,no,yes,cellular,30,jul,113,10,-1,0,unknown,no
185,35,admin.,married,secondary,no,122,yes,no,cellular,18,nov,51,4,-1,0,unknown,no
186,34,housemaid,married,primary,no,-1,yes,no,cellular,9,jul,272,1,-1,0,unknown,no
187,40,management,married,tertiary,no,592,yes,no,telephone,15,may,15,11,-1,0,unknown,no
188,35,blue-collar,married,secondary,no,225,yes,no,cellular,6,may,160,7,343,2,failure,no
189,36,services,single,secondary,no,174,yes,no,unknown,7,may,223,2,-1,0,unknown,no
190,56,admin.,single,secondary,no,-273,no,no,cellular,8,jul,119,2,-1,0,unknown,no
191,42,admin.,married,secondary,no,100,yes,no,cellular,3,feb,126,1,-1,0,unknown,no
192,38,blue-collar,divorced,secondary,no,316,yes,no,cellular,28,jan,223,1,247,2,success,no
193,39,admin.,married,secondary,no,419,yes,yes,unknown,8,may,35,1,-1,0,unknown,no
194,30,blue-collar,single,secondary,no,4,no,no,cellular,15,apr,692,1,-1,0,unknown,no
195,36,entrepreneur,married,tertiary,no,6,no,no,telephone,30,oct,246,1,-1,0,unknown,no
196,55,housemaid,married,primary,no,2603,no,no,unknown,9,jun,559,1,-1,0,unknown,no
197,32,unemployed,single,secondary,no,1026,yes,no,cellular,13,may,289,1,-1,0,unknown,yes
198,48,management,married,tertiary,yes,-13,yes,no,cellular,15,may,20,6,291,2,other,no
199,34,management,divorced,tertiary,no,488,yes,no,unknown,16,may,4,2,-1,0,unknown,no
200,52,blue-collar,married,primary,no,2439,yes,no,unknown,30,may,212,3,-1,0,unknown,no
201,33,technician,single,secondary,no,422,no,no,cellular,21,aug,289,2,-1,0,unknown,no
202,31,technician,married,secondary,no,286,no,no,unknown,12,may,177,4,-1,0,unknown,no
203,59,retired,divorced,primary,no,606,no,no,unknown,12,oct,54,1,526,2,failure,no
204,56,housemaid,married,primary,no,19,no,no,cellular,13,aug,111,2,-1,0,unknown,no
205,45,self-employed,married,tertiary,no,0,yes,no,cellular,17,nov,134,1,-1,0,unknown,no
206,47,technician,married,tertiary,no,-512,yes,yes,unknown,27,may,220,2,-1,0,unknown,no
207,41,blue-collar,married,secondary,no,923,yes,no,unknown,14,may,249,2,-1,0,unknown,no
208,35,technician,divorced,tertiary,no,825,yes,no,cellular,17,nov,273,2,-1,0,unknown,no
209,34,technician,single,secondary,no,943,no,no,cellular,29,aug,96,4,-1,0,unknown,no
210,33,technician,married,secondary,no,-534,yes,yes,cellular,8,aug,16,7,-1,0,unknown,no
211,47,technician,married,secondary,no,0,no,no,telephone,14,jul,81,2,-1,0,unknown,no
212,59,management,divorced,tertiary,no,7813,yes,no,cellular,21,nov,75,1,-1,0,unknown,no
213,36,technician,divorced,tertiary,no,1174,yes,no,cellular,18,nov,192,2,-1,0,unknown,no
214,36,admin.,single,tertiary,no,994,no,no,cellular,13,aug,185,2,105,3,success,no
215,44,admin.,married,secondary,no,0,yes,no,unknown,23,may,82,2,-1,0,unknown,no
216,25,services,single,secondary,no,505,no,no,cellular,15,jun,284,1,-1,0,unknown,yes
217,37,management,single,tertiary,no,584,yes,no,telephone,13,may,115,1,-1,0,unknown,no
218,32,management,married,secondary,no,1423,yes,no,unknown,16,may,223,3,-1,0,unknown,no
219,51,services,married,secondary,no,276,no,no,cellular,26,aug,217,2,-1,0,unknown,no
220,32,technician,single,secondary,no,287,yes,no,unknown,21,may,59,8,-1,0,unknown,no
221,46,management,married,secondary,no,0,no,no,unknown,12,jun,155,1,-1,0,unknown,no
222,57,unemployed,married,secondary,no,0,no,no,unknown,19,jun,97,1,-1,0,unknown,no
223,31,management,single,tertiary,no,354,no,no,cellular,30,apr,502,1,9,2,success,yes
224,42,technician,single,secondary,no,0,no,no,telephone,31,jul,33,13,-1,0,unknown,no
225,47,blue-collar,married,primary,no,-290,yes,no,cellular,15,may,495,1,-1,0,unknown,no
226,34,technician,single,secondary,yes,-2,no,yes,cellular,8,jul,283,1,-1,0,unknown,no
227,37,management,married,unknown,no,247,no,no,cellular,2,feb,192,2,208,1,failure,no
228,35,management,divorced,tertiary,no,434,yes,no,cellular,11,may,277,1,271,2,success,no
229,37,management,divorced,secondary,no,0,yes,no,unknown,18,jun,187,1,-1,0,unknown,no
230,46,blue-collar,married,secondary,no,310,yes,no,cellular,24,jul,58,2,-1,0,unknown,no
231,25,management,single,tertiary,no,553,yes,no,cellular,17,sep,113,4,479,1,failure,no
232,39,unknown,single,secondary,no,914,no,no,unknown,5,jun,20,1,-1,0,unknown,no
233,31,self-employed,married,tertiary,no,1194,yes,no,cellular,15,may,50,1,-1,0,unknown,no
234,39,blue-collar,married,primary,no,1135,yes,no,unknown,27,may,35,1,-1,0,unknown,no
235,58,retired,married,unknown,no,911,no,no,cellular,27,aug,178,4,-1,0,unknown,no
236,59,retired,married,secondary,no,377,no,yes,cellular,25,jul,468,4,-1,0,unknown,no
237,46,admin.,married,tertiary,no,2552,no,no,cellular,3,sep,260,1,94,8,success,yes
238,52,technician,divorced,secondary,no,0,no,no,telephone,17,nov,215,3,-1,0,unknown,no
239,37,management,married,primary,no,4721,no,no,telephone,28,jan,46,1,-1,0,unknown,no
240,35,technician,married,secondary,no,-288,yes,yes,cellular,30,apr,126,3,-1,0,unknown,no
241,39,entrepreneur,married,secondary,no,11887,no,no,cellular,18,nov,1181,2,-1,0,unknown,yes
242,43,entrepreneur,married,unknown,no,100,yes,no,unknown,5,may,702,1,-1,0,unknown,no
243,26,blue-collar,married,secondary,no,245,yes,no,unknown,28,may,146,2,-1,0,unknown,no
244,31,admin.,single,tertiary,no,516,no,no,cellular,5,jun,227,1,-1,0,unknown,no
245,47,blue-collar,married,primary,no,205,yes,no,unknown,8,may,128,2,-1,0,unknown,no
246,50,technician,married,secondary,no,1824,yes,no,telephone,13,aug,767,8,-1,0,unknown,no
247,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
248,56,technician,married,secondary,no,992,no,no,unknown,9,jun,123,1,-1,0,unknown,no
249,40,blue-collar,married,primary,no,-35,yes,no,cellular,18,may,194,3,-1,0,unknown,no
250,41,blue-collar,divorced,primary,no,169,yes,no,cellular,5,may,71,1,-1,0,unknown,no
251,33,blue-collar,married,primary,no,163,yes,no,unknown,20,may,135,1,-1,0,unknown,no
252,25,admin.,married,secondary,no,789,yes,no,cellular,23,jul,202,1,-1,0,unknown,no
253,41,blue-collar,married,secondary,no,2852,yes,no,unknown,20,may,125,3,-1,0,unknown,no
254,40,technician,married,secondary,no,0,no,no,cellular,15,apr,431,2,-1,0,unknown,no
255,49,technician,married,secondary,no,177,yes,yes,cellular,8,jul,191,1,-1,0,unknown,no
256,25,management,married,tertiary,no,51,yes,no,cellular,18,jul,127,4,-1,0,unknown,no
257,49,management,married,tertiary,no,596,yes,no,cellular,3,apr,579,2,-1,0,unknown,no
258,59,admin.,married,secondary,no,1001,no,no,unknown,6,jun,175,2,-1,0,unknown,no
259,30,management,single,tertiary,no,376,yes,no,cellular,21,nov,710,1,-1,0,unknown,yes
260,40,blue-collar,married,secondary,no,275,yes,no,cellular,1,feb,196,2,-1,0,unknown,no
261,43,admin.,married,secondary,no,315,no,no,cellular,23,jul,129,2,-1,0,unknown,no
262,44,blue-collar,married,secondary,no,1397,no,no,cellular,20,nov,326,1,-1,0,unknown,no
263,30,student,single,secondary,no,4,no,no,cellular,4,feb,443,2,-1,0,unknown,no
264,58,entrepreneur,married,primary,no,1249,no,no,cellular,5,feb,187,1,-1,0,unknown,no
265,36,technician,married,secondary,no,5611,yes,no,unknown,8,may,39,1,-1,0,unknown,no
266,46,technician,divorced,secondary,no,-154,yes,no,cellular,7,may,215,2,294,1,failure,no
267,33,admin.,single,tertiary,no,867,yes,no,cellular,14,apr,247,1,-1,0,unknown,no
268,30,technician,single,tertiary,no,2784,no,no,cellular,20,nov,808,3,-1,0,unknown,no
269,49,services,divorced,unknown,no,313,yes,no,cellular,31,jul,203,7,-1,0,unknown,no
270,27,services,single,secondary,no,139,no,no,cellular,25,jul,165,3,-1,0,unknown,no
271,47,blue-collar,married,secondary,no,947,no,yes,cellular,29,aug,24,17,-1,0,unknown,no
272,28,blue-collar,married,primary,no,0,no,no,unknown,14,may,17,24,-1,0,unknown,no
273,59,unemployed,married,secondary,no,0,no,no,cellular,11,mar,74,1,-1,0,unknown,no
274,46,management,single,secondary,no,5993,no,no,cellular,20,may,165,1,56,3,failure,no
275,47,blue-collar,married,primary,yes,0,no,no,unknown,5,jun,148,2,-1,0,unknown,no
276,29,blue-collar,married,secondary,no,1492,yes,no,unknown,2,jun,267,10,-1,0,unknown,no
277,46,blue-collar,married,primary,no,804,yes,no,cellular,12,may,1063,2,361,1,success,yes
278,44,management,married,tertiary,no,-61,no,no,cellular,11,aug,1015,1,-1,0,unknown,no
279,37,self-employed,married,tertiary,no,2084,yes,no,unknown,21,may,137,2,-1,0,unknown,no
280,36,blue-collar,single,secondary,no,1392,yes,no,unknown,15,may,205,2,-1,0,unknown,no
281,36,blue-collar,married,primary,no,38,yes,yes,cellular,13,may,285,2,335,1,other,no
282,26,admin.,single,tertiary,no,2532,yes,yes,cellular,18,feb,269,1,-1,0,unknown,yes
283,29,management,single,tertiary,no,941,yes,no,unknown,27,may,160,1,-1,0,unknown,no
284,35,blue-collar,married,secondary,no,674,yes,no,unknown,30,may,274,2,-1,0,unknown,no
285,48,housemaid,married,secondary,no,513,no,yes,cellular,28,jul,939,3,-1,0,unknown,yes
286,37,blue-collar,married,secondary,no,395,yes,no,unknown,6,may,219,2,-1,0,unknown,no
287,37,services,single,secondary,no,278,yes,no,unknown,3,jun,1045,3,-1,0,unknown,yes
288,31,technician,single,secondary,no,304,no,no,cellular,29,jan,293,2,160,2,other,no
289,31,housemaid,married,secondary,no,1,yes,no,unknown,30,may,101,16,-1,0,unknown,no
290,40,blue-collar,married,secondary,no,-31,yes,no,unknown,14,may,117,4,-1,0,unknown,no
291,28,housemaid,single,tertiary,no,731,yes,no,cellular,6,feb,135,2,-1,0,unknown,no
292,55,technician,divorced,tertiary,no,2298,yes,no,cellular,29,jul,66,1,-1,0,unknown,no
293,27,admin.,single,secondary,no,-181,yes,yes,unknown,29,may,81,4,-1,0,unknown,no
294,44,admin.,married,secondary,no,1248,yes,yes,cellular,8,may,428,3,-1,0,unknown,no
295,37,blue-collar,married,primary,no,704,no,no,unknown,18,jun,165,7,-1,0,unknown,no
