age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,126288,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Private,48866,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
54,State-gov,228277,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,165791,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,206680,Assoc-acdm,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
19,?,26354,Some-college,10,Never-married,?,Own-child,White,Male,0,0,15,United-States,<=50K
36,Private,272092,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
34,Private,60316,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
58,Private,222227,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
18,Self-emp-not-inc,328843,12th,8,Never-married,Craft-repair,Other-relative,White,Male,0,0,30,United-States,<=50K
23,Private,159897,10th,6,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
29,Private,167894,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,3176,0,40,United-States,<=50K
29,Private,189290,7th-8th,4,Never-married,Other-service,Other-relative,Black,Female,0,0,40,United-States,<=50K
40,Self-emp-not-inc,232917,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,99,United-States,<=50K
28,State-gov,254819,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
40,Private,340816,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,99,United-States,<=50K
54,Private,209892,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
51,Private,193462,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States,>50K
30,Private,151529,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K
85,Private,198846,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,98049,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,190691,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
25,Self-emp-not-inc,241620,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,50,?,<=50K
17,?,116967,10th,6,Never-married,?,Own-child,White,Male,0,0,35,United-States,<=50K
50,Private,191171,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,55,United-States,>50K
43,Private,57058,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
55,Local-gov,146664,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
21,Private,242845,9th,5,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,35,Mexico,<=50K
46,Private,147721,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0,0,47,United-States,<=50K
36,Private,380160,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,187508,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
26,Local-gov,218852,12th,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
22,Local-gov,341607,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,35,United-States,<=50K
37,Self-emp-inc,317285,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,>50K
18,Private,210513,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
42,Private,158792,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
26,Private,297175,9th,5,Separated,Other-service,Not-in-family,White,Female,0,0,28,Cuba,<=50K
25,Private,136195,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
30,Private,79937,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,35,United-States,<=50K
51,Private,82777,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,342084,Assoc-acdm,12,Never-married,Exec-managerial,Other-relative,Black,Male,0,0,40,Outlying-US(Guam-USVI-etc),<=50K
21,Private,56208,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
63,?,120630,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,15,United-States,<=50K
51,Self-emp-not-inc,185913,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K
27,Private,169199,Assoc-acdm,12,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
30,Self-emp-not-inc,265841,Masters,14,Divorced,Sales,Not-in-family,White,Female,0,0,45,United-States,<=50K
58,?,60137,9th,5,Married-civ-spouse,?,Husband,Amer-Indian-Eskimo,Male,0,0,20,United-States,<=50K
25,Private,246151,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
26,Private,161715,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
38,Self-emp-inc,1168157,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,60,United-States,<=50K
27,Federal-gov,35832,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,2325,0,45,United-States,<=50K
20,Private,318680,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
34,Private,78211,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,Japan,<=50K
24,Private,264571,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,Jamaica,<=50K
27,Self-emp-not-inc,400186,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
46,Private,305860,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States,<=50K
20,Local-gov,192109,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,8614,0,40,United-States,>50K
40,Private,188353,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,7298,0,40,United-States,>50K
70,Private,138847,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,112057,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,<=50K
63,Self-emp-not-inc,94024,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1480,52,United-States,>50K
48,Private,217303,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
88,?,174294,Preschool,1,Widowed,?,Other-relative,Black,Female,0,0,15,Haiti,<=50K
28,?,214202,Some-college,10,Divorced,?,Unmarried,White,Male,0,0,40,United-States,<=50K
35,Private,116870,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
63,Private,116828,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,20,United-States,<=50K
51,Self-emp-not-inc,92217,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
43,Private,128945,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
43,Private,209880,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
53,Federal-gov,129756,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,>50K
28,Private,246390,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<=50K
61,Local-gov,203207,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
45,Private,346403,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K
26,Private,306025,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
44,Private,364772,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
54,State-gov,246072,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,201242,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
36,Private,319271,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,3103,0,55,United-States,>50K
63,Self-emp-inc,125387,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,99,United-States,<=50K
26,State-gov,318536,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
17,?,367821,Some-college,10,Never-married,?,Own-child,White,Female,0,0,20,United-States,<=50K
50,?,161691,HS-grad,9,Separated,?,Unmarried,Black,Female,0,0,40,Puerto-Rico,<=50K
30,Private,162568,12th,8,Never-married,Adm-clerical,Not-in-family,White,Female,2177,0,42,United-States,<=50K
20,Private,393151,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,<=50K
41,State-gov,316933,Some-college,10,Divorced,Craft-repair,Not-in-family,Black,Male,0,1876,40,United-States,<=50K
46,Self-emp-not-inc,115268,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,20,United-States,<=50K
36,Private,482053,9th,5,Widowed,Transport-moving,Unmarried,White,Female,0,0,55,Mexico,<=50K
39,Self-emp-inc,72432,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K
26,Private,280023,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,44,United-States,<=50K
18,Private,169064,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
72,Self-emp-inc,191543,10th,6,Widowed,Transport-moving,Not-in-family,White,Female,0,1669,40,United-States,<=50K
66,Local-gov,331370,7th-8th,4,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,?,29555,Prof-school,15,Separated,?,Not-in-family,Black,Male,0,0,22,United-States,<=50K
25,State-gov,464839,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,20,United-States,<=50K
21,Private,96916,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
20,?,217371,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
49,Private,48549,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,239873,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
20,?,265694,HS-grad,9,Never-married,?,Not-in-family,Black,Male,0,0,40,United-States,<=50K
48,Local-gov,291268,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
61,Private,306141,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,30,United-States,<=50K
40,Private,154383,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
24,State-gov,243614,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Male,0,0,35,United-States,<=50K
35,?,169865,11th,7,Separated,?,Own-child,White,Female,0,0,60,United-States,<=50K
27,Private,352338,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,England,<=50K
64,Self-emp-not-inc,419132,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,<=50K
26,Private,165630,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K
42,Self-emp-inc,226517,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
31,Private,231366,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
51,Private,533006,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
25,Private,363920,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,60,United-States,<=50K
26,Private,223489,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,18,United-States,<=50K
20,Private,310972,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
46,Private,326056,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,Jamaica,<=50K
45,Self-emp-inc,27731,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
35,Private,315157,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,35,United-States,>50K
41,Local-gov,256847,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,>50K
21,Private,124535,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,33,United-States,<=50K
29,Private,37635,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50K
20,Private,413693,7th-8th,4,Never-married,Other-service,Own-child,White,Male,0,0,78,El-Salvador,<=50K
46,Private,196494,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
20,Private,171402,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,18,United-States,<=50K
57,Self-emp-not-inc,101811,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,58,United-States,<=50K
20,?,141228,Bachelors,13,Never-married,?,Own-child,White,Female,0,0,20,United-States,<=50K
40,Self-emp-inc,241054,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
66,?,198014,11th,7,Divorced,?,Other-relative,White,Female,0,0,22,United-States,<=50K
29,Private,126987,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Portugal,<=50K
24,Private,202222,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Female,0,0,30,Mexico,<=50K
45,Private,233321,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,0,0,50,United-States,<=50K
20,?,140002,HS-grad,9,Never-married,?,Not-in-family,Black,Male,99999,0,40,United-States,>50K
30,Local-gov,405950,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
36,Self-emp-not-inc,227816,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
42,Self-emp-not-inc,168728,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,140944,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
53,Private,296516,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,148769,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,48,United-States,<=50K
28,Private,131716,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
17,Private,47570,11th,7,Never-married,Sales,Own-child,White,Male,0,0,5,United-States,<=50K
49,Self-emp-not-inc,245367,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,55,United-States,>50K
22,Private,290595,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Self-emp-not-inc,88218,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
20,Private,166772,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,38,United-States,<=50K
29,Local-gov,80154,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Private,278246,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
