age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
48,services,married,secondary,no,373,yes,no,cellular,9,may,191,2,334,2,failure,no
56,blue-collar,single,secondary,no,1083,yes,no,cellular,1,jun,418,1,-1,0,unknown,no
32,services,married,secondary,yes,-193,yes,yes,unknown,6,may,258,3,-1,0,unknown,no
31,admin.,married,secondary,no,1865,yes,no,cellular,12,apr,588,3,-1,0,unknown,no
58,retired,married,secondary,no,365,no,no,telephone,7,apr,491,1,177,3,success,yes
27,management,single,tertiary,no,2090,no,no,unknown,22,jun,30,1,-1,0,unknown,no
37,admin.,married,secondary,yes,1153,yes,no,unknown,25,may,116,2,-1,0,unknown,no
40,admin.,divorced,secondary,no,2224,yes,no,unknown,21,jan,25,2,-1,0,unknown,no
37,admin.,single,tertiary,no,1363,no,no,cellular,1,jun,161,1,176,3,success,yes
48,services,married,secondary,no,6829,yes,no,cellular,18,nov,270,2,-1,0,unknown,no
36,management,single,secondary,no,472,no,no,cellular,28,may,279,2,181,5,success,no
59,technician,married,secondary,no,2460,no,yes,cellular,30,jul,317,2,-1,0,unknown,no
55,management,married,tertiary,no,1401,no,no,cellular,31,jan,427,4,-1,0,unknown,no
45,blue-collar,single,primary,no,924,no,no,cellular,26,feb,124,2,-1,0,unknown,no
34,admin.,single,secondary,no,598,no,no,unknown,22,may,154,3,-1,0,unknown,no
29,management,single,tertiary,no,147,yes,no,cellular,28,aug,327,1,180,6,failure,no
47,management,married,tertiary,no,3281,no,no,cellular,21,nov,40,1,-1,0,unknown,no
43,management,married,tertiary,no,530,no,no,cellular,29,may,137,1,184,2,success,no
55,admin.,married,primary,no,570,no,no,unknown,30,jun,246,2,-1,0,unknown,no
57,management,married,tertiary,no,192,no,no,cellular,10,aug,117,2,-1,0,unknown,no
34,services,married,secondary,no,644,yes,no,cellular,28,may,132,2,341,2,failure,no
27,admin.,divorced,unknown,no,66,yes,no,cellular,26,may,237,1,182,3,unknown,no
23,self-employed,single,tertiary,no,756,no,no,cellular,27,jan,133,1,-1,0,unknown,no
40,technician,divorced,secondary,no,5823,no,no,cellular,13,aug,44,3,173,5,unknown,no
52,retired,married,primary,no,2792,yes,no,unknown,20,may,258,3,-1,0,unknown,no
41,management,married,tertiary,no,195,yes,no,unknown,14,may,426,2,-1,0,unknown,no
24,technician,single,secondary,no,1624,no,yes,cellular,28,nov,329,1,0,0,unknown,no
32,admin.,single,secondary,no,704,yes,no,unknown,30,may,275,2,281,10,other,no
34,blue-collar,married,primary,no,128,yes,yes,cellular,9,apr,141,5,-1,0,unknown,no
30,admin.,divorced,secondary,no,2964,no,no,telephone,14,may,993,1,-1,0,unknown,yes
30,admin.,single,secondary,no,2,yes,no,unknown,7,may,81,1,-1,0,unknown,no
31,unemployed,married,secondary,no,13926,no,no,cellular,13,oct,318,1,171,3,other,yes
29,blue-collar,single,primary,no,1056,yes,no,unknown,23,may,310,1,-1,0,unknown,no
54,management,married,primary,no,236,no,yes,cellular,9,jul,78,2,-1,0,unknown,no
40,unemployed,single,secondary,no,819,yes,no,unknown,6,may,122,1,-1,0,unknown,no
28,student,single,secondary,no,44,no,no,cellular,5,aug,137,2,-1,0,unknown,no
38,management,divorced,tertiary,no,424,yes,yes,cellular,8,jan,146,2,269,5,failure,no
23,unemployed,single,secondary,no,2519,no,yes,cellular,30,jan,177,1,-1,0,unknown,no
42,admin.,divorced,secondary,no,-380,yes,no,unknown,4,jun,211,2,-1,0,unknown,no
67,blue-collar,married,primary,no,2958,yes,no,telephone,31,jul,119,1,-1,0,unknown,no
28,technician,single,secondary,no,399,yes,no,cellular,9,sep,128,1,-1,0,unknown,no
28,self-employed,single,tertiary,no,2433,no,no,cellular,20,nov,180,5,191,0,unknown,no
32,blue-collar,single,secondary,no,37,yes,no,cellular,4,feb,209,1,247,2,failure,no
38,self-employed,married,tertiary,no,1032,no,no,cellular,7,jun,86,1,-1,0,unknown,no
33,admin.,single,unknown,no,3854,no,no,unknown,20,jun,91,5,-1,0,unknown,no
34,admin.,single,secondary,no,2731,no,no,cellular,11,may,428,1,-1,0,unknown,yes
36,retired,divorced,primary,no,1517,no,no,cellular,28,aug,68,2,-1,0,unknown,no
47,technician,single,secondary,no,-19,no,no,unknown,19,aug,83,4,-1,0,unknown,no
33,blue-collar,married,primary,no,80,yes,no,unknown,27,may,624,2,-1,0,unknown,no
33,technician,single,secondary,yes,-3675,no,yes,cellular,23,aug,83,4,0,0,unknown,no
56,services,married,secondary,no,604,yes,no,telephone,29,aug,56,5,172,2,failure,no
29,admin.,single,secondary,no,185,no,no,cellular,9,apr,189,1,179,2,failure,no
76,retired,married,primary,no,3024,no,no,cellular,15,jan,136,1,-1,5,unknown,yes
36,admin.,married,secondary,no,1714,yes,yes,unknown,7,may,333,2,-1,0,unknown,no
58,management,married,tertiary,no,6963,no,no,cellular,20,aug,114,2,184,3,success,yes
60,unknown,divorced,tertiary,no,1350,no,no,unknown,28,jun,8,1,-1,0,unknown,no
33,technician,married,secondary,no,102,yes,no,unknown,9,may,451,4,-1,0,unknown,no
50,admin.,married,secondary,no,2377,yes,no,cellular,27,may,113,1,258,3,failure,no
34,admin.,single,secondary,yes,4,yes,no,unknown,27,may,95,2,-1,0,unknown,no
55,management,married,primary,no,14,no,no,cellular,12,feb,163,2,268,2,failure,no
35,unknown,married,unknown,no,7155,yes,no,unknown,29,may,91,2,-1,0,unknown,no
34,technician,single,secondary,yes,1907,yes,yes,unknown,8,may,112,1,-1,0,unknown,no
60,blue-collar,married,secondary,no,153,no,no,cellular,27,aug,227,2,-1,0,unknown,no
31,services,divorced,secondary,no,572,yes,no,cellular,7,apr,332,3,177,2,failure,no
29,management,married,secondary,no,709,yes,no,unknown,8,may,112,1,-1,0,unknown,no
34,blue-collar,married,unknown,no,1278,yes,no,unknown,21,jun,82,1,-1,0,unknown,no
33,student,single,secondary,no,73,yes,no,cellular,5,feb,95,5,260,3,other,no
33,services,married,secondary,no,879,yes,yes,cellular,29,jul,222,1,-1,0,unknown,no
22,management,single,tertiary,no,5098,yes,yes,cellular,22,may,96,1,-1,0,unknown,no
60,housemaid,married,secondary,no,333,no,yes,cellular,13,may,219,2,-1,0,unknown,no
54,management,divorced,tertiary,no,518,no,no,cellular,29,aug,31,5,-1,0,unknown,no
29,blue-collar,single,secondary,no,2258,yes,no,cellular,27,jul,689,1,-1,0,unknown,no
24,housemaid,single,tertiary,no,738,yes,no,unknown,28,jun,111,1,-1,0,unknown,no
32,unemployed,married,secondary,no,1504,no,no,cellular,29,feb,173,2,-1,0,unknown,no
33,management,married,tertiary,no,1325,no,no,cellular,28,jan,161,3,-1,0,unknown,no
60,technician,married,secondary,no,345,no,no,cellular,27,aug,432,1,-1,0,unknown,no
41,blue-collar,divorced,primary,no,1651,yes,no,unknown,18,jun,24,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,815,yes,no,unknown,8,may,256,1,-1,0,unknown,no
36,technician,married,secondary,no,65,yes,no,unknown,7,may,152,2,-1,0,unknown,no
47,blue-collar,married,primary,no,61,yes,no,unknown,8,may,34,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,84,no,no,unknown,6,jun,28,2,0,0,unknown,no
35,management,single,primary,no,335,yes,yes,unknown,21,nov,103,1,-1,0,unknown,no
51,blue-collar,married,unknown,no,1078,yes,no,unknown,20,apr,89,1,-1,0,unknown,no
53,management,married,tertiary,no,172,no,no,cellular,28,nov,157,3,-1,0,unknown,no
32,blue-collar,divorced,primary,yes,552,yes,no,unknown,26,may,243,1,-1,0,unknown,no
56,unemployed,single,unknown,no,3124,no,no,unknown,19,nov,1112,1,-1,0,unknown,no
46,blue-collar,single,secondary,no,1027,yes,no,telephone,21,mar,21,1,-1,0,unknown,no
32,management,married,tertiary,no,132,yes,no,unknown,16,jan,69,5,-1,0,unknown,no
52,admin.,married,secondary,no,5847,yes,no,cellular,13,may,150,2,-1,0,unknown,yes
38,management,divorced,tertiary,no,1519,yes,no,cellular,18,nov,455,7,-1,0,unknown,no
44,management,married,tertiary,no,2127,yes,yes,cellular,17,may,163,4,-1,0,unknown,no
47,management,married,tertiary,no,503,yes,yes,unknown,9,may,90,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,-20,yes,no,cellular,21,nov,133,1,-1,0,unknown,no
51,management,married,tertiary,no,4198,no,no,cellular,18,nov,269,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,-19,yes,yes,cellular,18,may,232,2,-1,0,unknown,no
48,services,married,primary,no,14490,no,no,cellular,29,jul,168,1,-1,0,unknown,no
37,management,single,tertiary,no,3615,no,no,cellular,16,may,19,1,183,5,failure,no
56,admin.,single,secondary,no,433,yes,no,unknown,30,may,74,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,130,yes,no,unknown,6,jun,79,1,-1,0,unknown,no
31,admin.,single,tertiary,no,1260,no,no,cellular,14,may,1170,7,180,3,success,no
58,blue-collar,married,secondary,yes,502,no,yes,cellular,28,jul,138,1,-1,0,unknown,no
54,blue-collar,married,primary,no,391,no,no,cellular,27,jan,300,1,-1,0,unknown,no
37,admin.,divorced,secondary,no,234,yes,no,cellular,13,feb,98,2,185,2,failure,no
31,services,single,secondary,no,662,yes,no,unknown,18,may,116,1,-1,0,unknown,no
27,services,single,unknown,no,814,yes,no,unknown,31,may,196,2,-1,0,unknown,no
34,blue-collar,divorced,tertiary,yes,-358,yes,yes,unknown,7,may,284,1,-1,0,unknown,no
54,management,married,tertiary,yes,579,yes,no,cellular,12,aug,37,2,-1,0,unknown,no
39,management,single,secondary,no,-23,yes,no,cellular,31,apr,130,2,-1,0,unknown,no
25,blue-collar,single,unknown,no,68,yes,no,cellular,6,feb,47,1,346,1,other,no
60,unknown,married,secondary,no,867,yes,no,cellular,2,jan,141,1,179,2,failure,no
50,unemployed,married,secondary,no,5995,no,no,cellular,18,nov,566,1,-1,0,unknown,yes
57,admin.,married,secondary,no,1256,no,no,cellular,20,aug,215,1,-1,0,unknown,no
40,technician,married,secondary,no,543,no,yes,cellular,28,jul,98,4,-1,0,unknown,no
39,blue-collar,single,primary,no,1603,no,yes,unknown,5,jun,625,1,-1,0,unknown,no
39,management,married,tertiary,no,284,no,no,cellular,27,aug,176,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,2942,yes,yes,cellular,28,apr,278,1,341,2,failure,no
37,unemployed,single,secondary,no,688,yes,no,cellular,19,aug,202,3,-1,0,unknown,no
35,services,divorced,secondary,no,259,yes,yes,cellular,8,jul,148,2,-1,0,unknown,no
46,management,married,secondary,no,145,yes,no,cellular,28,apr,247,2,269,3,failure,no
32,blue-collar,married,primary,no,291,yes,no,cellular,9,may,217,1,342,2,failure,no
42,admin.,married,tertiary,no,307,yes,yes,cellular,19,nov,524,1,-1,0,unknown,no
49,technician,married,secondary,no,6006,no,no,cellular,21,jan,134,1,-1,0,unknown,no
48,management,married,tertiary,no,70,yes,no,unknown,16,may,89,1,-1,0,unknown,no
41,management,single,tertiary,no,4824,no,no,cellular,5,jun,84,1,-1,0,unknown,no
22,management,single,tertiary,no,-43,no,no,cellular,8,jan,138,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,38,yes,no,unknown,5,feb,71,1,334,12,other,no
58,housemaid,married,primary,no,103,yes,no,unknown,22,nov,1066,1,-1,0,unknown,no
49,retired,married,secondary,no,2157,no,no,unknown,18,may,92,10,-1,0,unknown,no
54,admin.,married,secondary,no,74,yes,no,unknown,4,may,875,1,341,5,success,no
49,admin.,single,secondary,no,374,yes,no,unknown,9,may,392,2,-1,0,unknown,no
32,entrepreneur,married,secondary,no,703,yes,no,cellular,11,nov,219,2,-1,0,unknown,no
40,management,married,tertiary,no,136,yes,no,cellular,17,aug,124,4,-1,0,unknown,no
31,management,divorced,tertiary,yes,587,no,no,cellular,22,nov,147,1,-1,0,unknown,no
26,student,single,secondary,no,34,no,no,cellular,13,aug,94,2,462,2,unknown,no
43,blue-collar,single,unknown,no,2846,no,no,unknown,22,jun,33,1,-1,0,unknown,no
35,admin.,married,secondary,no,19,no,no,cellular,2,jun,29,3,-1,0,unknown,no
24,blue-collar,single,tertiary,no,-147,no,no,unknown,13,may,180,2,-1,5,unknown,no
56,admin.,married,secondary,no,992,yes,no,cellular,17,apr,209,1,-1,0,unknown,no
50,management,married,tertiary,no,770,yes,no,unknown,5,jun,82,1,-1,0,unknown,no
27,management,single,tertiary,no,17304,no,yes,cellular,31,jul,87,5,-1,0,unknown,no
34,self-employed,single,secondary,no,160,yes,yes,cellular,25,apr,122,5,-1,0,unknown,no
26,unknown,divorced,unknown,no,1202,no,no,cellular,22,jul,399,1,-1,0,unknown,no
29,services,single,secondary,no,3356,no,no,cellular,15,jan,337,1,-1,2,unknown,no
58,unknown,married,unknown,no,2712,no,no,cellular,19,aug,70,1,-1,0,unknown,no
31,admin.,single,tertiary,no,-160,no,no,unknown,2,may,128,1,-1,0,unknown,yes
36,management,single,tertiary,no,719,yes,no,cellular,12,apr,138,5,174,3,failure,no
25,management,single,unknown,no,753,yes,no,cellular,11,may,458,3,-1,0,unknown,yes
35,services,single,secondary,no,793,yes,no,cellular,28,may,554,1,346,1,failure,no
53,management,married,tertiary,no,2495,no,no,cellular,25,apr,152,1,-1,0,unknown,no
59,unemployed,married,secondary,no,2508,yes,no,unknown,29,jun,88,2,-1,0,unknown,no
38,entrepreneur,married,secondary,yes,-115,no,yes,cellular,30,jul,144,5,-1,0,unknown,no
26,management,single,tertiary,no,4134,no,no,cellular,21,mar,268,2,-1,0,unknown,yes
27,management,single,tertiary,no,-130,no,no,cellular,8,sep,71,1,-1,0,unknown,no
51,technician,divorced,secondary,no,517,yes,no,unknown,9,may,518,2,-1,0,unknown,yes
46,management,married,primary,no,1004,yes,yes,unknown,20,may,133,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,813,yes,yes,unknown,3,may,608,1,-1,0,unknown,no
47,admin.,married,secondary,no,44,no,no,cellular,30,jul,154,2,-1,0,unknown,no
39,admin.,married,secondary,no,646,yes,no,cellular,21,nov,128,1,78,1,other,no
35,admin.,single,secondary,no,62,yes,no,cellular,16,may,76,3,176,5,success,no
34,entrepreneur,married,tertiary,yes,-241,no,yes,cellular,28,jul,122,2,-1,0,unknown,no
40,technician,married,secondary,no,3870,no,no,unknown,21,jun,80,5,-1,0,unknown,no
40,admin.,married,primary,no,1047,yes,no,unknown,7,jun,63,1,0,0,unknown,no
32,blue-collar,single,secondary,no,175,yes,no,cellular,21,nov,210,1,-1,0,unknown,no
47,services,married,secondary,no,85,yes,no,cellular,1,jan,59,3,170,1,failure,no
40,blue-collar,married,secondary,no,1303,yes,no,unknown,22,may,493,3,-1,0,unknown,no
32,blue-collar,single,secondary,no,1900,no,no,cellular,19,apr,121,2,0,0,unknown,no
36,technician,divorced,secondary,yes,-309,yes,yes,unknown,8,may,175,2,-1,0,unknown,no
24,admin.,married,secondary,no,4499,no,no,cellular,22,nov,92,1,-1,0,unknown,yes
55,management,married,tertiary,yes,1431,no,yes,cellular,8,jan,148,1,175,3,failure,no
29,student,divorced,secondary,no,512,yes,no,cellular,24,jan,178,2,464,3,other,yes
84,retired,married,unknown,no,3146,no,no,telephone,30,jun,38,1,94,11,other,no
37,management,married,tertiary,yes,878,yes,no,unknown,30,may,158,5,-1,0,unknown,no
36,management,divorced,tertiary,no,1263,yes,no,cellular,19,nov,140,2,175,1,failure,no
36,technician,married,secondary,no,1288,no,no,cellular,7,sep,301,1,-1,0,unknown,no
44,technician,married,secondary,no,744,yes,no,cellular,20,nov,45,1,173,2,failure,no
30,technician,married,secondary,no,775,no,no,cellular,29,aug,129,1,183,2,success,no
61,admin.,divorced,unknown,no,114,no,no,cellular,29,feb,225,2,187,1,success,yes
53,admin.,single,tertiary,no,4901,no,no,telephone,30,jul,376,3,-1,0,unknown,yes
36,admin.,married,secondary,yes,-730,yes,no,unknown,13,may,857,2,-1,0,unknown,no
43,services,married,secondary,no,943,yes,yes,unknown,30,may,473,1,-1,0,unknown,no
56,retired,married,primary,no,2765,yes,no,unknown,29,may,190,2,-1,0,unknown,no
29,management,single,tertiary,no,691,yes,no,cellular,16,jul,524,2,-1,0,unknown,no
36,admin.,married,secondary,no,769,yes,no,cellular,25,may,453,1,-1,0,unknown,no
35,admin.,married,secondary,no,5753,no,no,telephone,21,nov,231,1,-1,0,unknown,no
30,management,single,tertiary,no,1763,no,no,cellular,11,feb,174,1,184,2,success,no
54,blue-collar,married,secondary,no,2868,no,no,cellular,28,aug,62,9,-1,0,unknown,no
36,management,divorced,tertiary,no,340,yes,no,cellular,1,may,8,2,-1,0,unknown,no
32,management,single,tertiary,no,375,yes,no,cellular,28,jan,113,2,-1,5,failure,no
48,services,married,secondary,no,1051,yes,no,cellular,3,may,135,2,249,2,failure,no
40,technician,divorced,secondary,no,2751,yes,no,cellular,31,jul,29,11,-1,0,unknown,no
27,technician,single,primary,no,87,no,no,unknown,2,jun,93,1,-1,0,unknown,no
40,admin.,married,secondary,no,1819,no,yes,cellular,28,jan,178,2,119,3,failure,no
60,admin.,married,secondary,no,89,yes,yes,cellular,4,may,161,1,172,9,other,no
36,housemaid,married,secondary,no,204,no,no,cellular,28,nov,193,10,-1,0,unknown,no
41,management,single,tertiary,no,-33,yes,no,unknown,11,may,365,3,-1,0,unknown,no
